storm_id,name,landfall_dt,wind_kt,lat,lon
AL051995,ERIN,1995-08-02 06:31:57.074796+00:00,74,27.72456702405241,-80.37861447696771
AL051998,EARL,1998-09-03 05:59:43.538544+00:00,70,30.09946652688271,-85.7008383148986
AL131999,IRENE,1999-10-15 12:55:03.231089+00:00,65,24.58351283828011,-81.61648716171989
AL131999,IRENE,1999-10-15 19:16:56.778198+00:00,68,25.22824383882855,-81.17175616117144
AL032004,CHARLEY,2004-08-13 20:54:25.104188+00:00,123,26.957959403863846,-82.07585024839005
AL062004,FRANCES,2004-09-05 04:16:41.099090+00:00,90,27.190137025800368,-80.16054810320148
AL112004,JEANNE,2004-09-26 03:48:52.014750+00:00,105,27.195361213539346,-80.16288970831478
AL042005,DENNIS,2005-07-10 19:19:33.976171+00:00,106,30.342034830639776,-87.0768139322559
AL122005,KATRINA,2005-08-25 22:37:49.132438+00:00,70,25.991312362266385,-80.11737527546723
AL252005,WILMA,2005-10-24 10:27:55.066610+00:00,105,25.893059256096112,-81.71079671273938
AL092016,HERMINE,2016-09-02 05:27:32.047632+00:00,70,30.0917804240261,-84.1052306392561
AL112017,IRMA,2017-09-10 12:49:05.870127+00:00,115,24.663659451495924,-81.5
AL112017,IRMA,2017-09-10 19:21:46.171005+00:00,100,25.872565055856477,-81.7
AL142018,MICHAEL,2018-10-10 17:22:42.986354+00:00,140,29.97792860371349,-85.5176571170292
AL092022,IAN,2022-09-28 20:06:58.223174+00:00,127,26.76885598471128,-82.06228803057743
AL172022,NICOLE,2022-11-10 07:53:14.289938+00:00,65,27.612922612769424,-80.34199849150062
AL102023,IDALIA,2023-08-30 11:36:28.699329+00:00,101,29.858682774066057,-83.62582326620871
AL042024,DEBBY,2024-08-05 11:02:44.124278+00:00,70,29.709118015455413,-83.4954409922723
AL092024,HELENE,2024-09-27 03:01:40.145004+00:00,120,29.942998991673075,-83.72630815768935
AL142024,MILTON,2024-10-10 00:21:08.170636+00:00,101,27.370453924212427,-82.62954607578757
